data.timestamp,timestamp_meta,meta_x,meta_y,meta_z,obj.id,obj.centerX,obj.centerY,obj.width,obj.length,obj.rotation,obj.classType,obj.height
2024-05-20T19:30:15.570090,2024-05-20T14:30:15.615755,0.9174095,0.722316,0.2853801,667737348,115.39945983886719,-110.36762237548828,0.4375755786895752,0.4374951124191284,2.909634590148926,10,1.399999976158142
2024-05-20T19:30:15.670288,2024-05-20T14:30:15.725968,1.04629,0.6589836,0.329634,667737348,115.41300964355469,-110.43389129638672,0.43831586837768555,0.4382514953613281,2.6975319385528564,10,1.399999976158142
2024-05-20T19:30:15.770485,2024-05-20T14:30:15.838072,1.217636,0.6044508,0.3861936,667737348,115.41252136230469,-110.47685241699219,0.4387021064758301,0.43838024139404297,2.674243927001953,10,1.399999976158142
2024-05-20T19:30:15.870679,2024-05-20T14:30:15.921868,1.369239,0.600881,0.4232562,667737348,115.27234649658203,-110.6230697631836,0.4391159415245056,0.4387480914592743,2.665926218032837,10,1.399999976158142
2024-05-20T19:30:15.970211,2024-05-20T14:30:16.032290,1.574934,0.6357963,0.44539,667737348,115.29634857177734,-110.66236877441406,0.4393056035041809,0.438903272151947,2.619521379470825,10,1.399999976158142
2024-05-20T19:30:16.070407,2024-05-20T14:30:16.144948,1.773569,0.6443341,0.4487869,667737348,115.27967071533203,-110.74118041992188,0.43927431106567383,0.43888092041015625,2.571678638458252,10,1.399999976158142
2024-05-20T19:30:16.170604,2024-05-20T14:30:16.206306,1.868206,0.6313201,0.4520649,667737348,115.24197387695312,-110.85589599609375,0.43921709060668945,0.43860554695129395,2.5431783199310303,10,1.399999976158142
2024-05-20T19:30:16.270138,2024-05-20T14:30:16.311250,2.057545,0.6079413,0.4566822,667737348,115.24197387695312,-110.85589599609375,0.43921709060668945,0.43860554695129395,2.5431783199310303,10,1.399999976158142
2024-05-20T19:30:16.370410,2024-05-20T14:30:16.421923,2.244546,0.6262198,0.4591494,667737348,115.1821060180664,-111.02305603027344,0.43928730487823486,0.4382924735546112,2.5516915321350098,10,1.399999976158142
2024-05-20T19:30:16.470550,2024-05-20T14:30:16.504603,2.377334,0.6500831,0.4614562,667737348,115.14653778076172,-111.1260757446289,0.4391580820083618,0.4379779100418091,2.5547935962677,10,1.399999976158142
2024-05-20T19:30:16.570063,2024-05-20T14:30:16.615263,2.552873,0.6536173,0.4656329,667737348,115.09881591796875,-111.21720886230469,0.4391477704048157,0.43761271238327026,2.565112352371216,10,1.399999976158142
2024-05-20T19:30:16.670259,2024-05-20T14:30:16.728315,2.730999,0.6265383,0.4798258,667737348,115.07455444335938,-111.3144760131836,0.4391477704048157,0.43761271238327026,2.565112352371216,10,1.399999976158142
2024-05-20T19:30:16.770473,2024-05-20T14:30:16.810847,2.870038,0.6152388,0.4961564,667737348,114.97427368164062,-111.62446594238281,0.4393228590488434,0.4379204213619232,2.564972162246704,10,1.399999976158142
2024-05-20T19:30:16.869984,2024-05-20T14:30:16.921743,3.05982,0.6344092,0.5081264,667737348,114.89250183105469,-111.88249206542969,0.43943166732788086,0.438230037689209,2.6016898155212402,10,1.399999976158142
2024-05-20T19:30:16.970191,2024-05-20T14:30:17.090674,3.312957,0.6590787,0.5082921,667737348,114.798828125,-112.14462280273438,0.43950676918029785,0.43807849287986755,2.655924081802368,10,1.399999976158142
2024-05-20T19:30:17.070396,2024-05-20T14:30:17.143780,3.397259,0.6510175,0.5080546,667737348,114.70989990234375,-112.40564727783203,0.4395730495452881,0.438323438167572,2.2598094940185547,10,1.399999976158142
2024-05-20T19:30:17.170573,2024-05-20T14:30:17.232136,3.52984,0.6306626,0.5028059,667737348,114.63585662841797,-112.63562774658203,0.43970346450805664,0.43846964836120605,1.982397437095642,10,1.399999976158142
2024-05-20T19:30:17.270110,2024-05-20T14:30:17.311671,3.671804,0.6191953,0.4910958,667737348,114.57090759277344,-112.83795166015625,0.43982017040252686,0.4390239715576172,1.787693738937378,10,1.399999976158142
2024-05-20T19:30:17.370305,2024-05-20T14:30:17.422276,3.858902,0.6453467,0.4628232,667737348,114.51048278808594,-113.01206970214844,0.439876914024353,0.4392653703689575,2.104074478149414,10,1.399999976158142
2024-05-20T19:30:17.470503,2024-05-20T14:30:17.538643,4.037517,0.6745891,0.4247523,667737348,114.44761657714844,-113.17070007324219,0.4399435818195343,0.4396217167377472,2.3025312423706055,10,1.399999976158142
2024-05-20T19:30:17.570034,2024-05-20T14:30:17.618583,4.172554,0.671784,0.3953444,667737348,114.38227081298828,-113.32388305664062,0.44001883268356323,0.43987253308296204,2.413839340209961,10,1.399999976158142
