LidarTimestamp,MetaTimestamp,MetaX,MetaY,MetaZ,LidarID,LidarX,LidarY,width,length,rotation,classType,height
2024-05-20T20:25:36.166070,2024-05-20T15:25:36.237843,0.1675657,0.5355251,0.4683008,373664161,53.847442626953125,-117.03107452392578,0.44074058532714844,0.44170618057250977,0.27899202704429626,10,1.399999976158142
2024-05-20T20:25:36.265602,2024-05-20T15:25:36.315898,0.1675447,0.5355388,0.4683012,373664161,53.96944808959961,-116.9306640625,0.44074058532714844,0.44170618057250977,0.27899202704429626,10,1.399999976158142
2024-05-20T20:25:36.365797,2024-05-20T15:25:36.427045,0.1675708,0.5355451,0.4682664,373664161,54.100067138671875,-116.9744873046875,0.44095516204833984,0.4403114318847656,0.27517327666282654,10,1.399999976158142
2024-05-20T20:25:36.465992,2024-05-20T15:25:36.510358,0.1676496,0.535588,0.4682379,373664161,54.206329345703125,-116.94188690185547,0.44121265411376953,0.44005393981933594,0.2611390948295593,10,1.399999976158142
2024-05-20T20:25:36.566206,2024-05-20T15:25:36.621380,0.1677092,0.5356116,0.4682411,373664161,54.32033157348633,-116.86283874511719,0.4413306713104248,0.4405796527862549,0.277316153049469,10,1.399999976158142
2024-05-20T20:25:36.665729,2024-05-20T15:25:36.732738,0.1677018,0.5356321,0.4682139,373664161,54.44007873535156,-116.79386901855469,0.4413306713104248,0.4405796527862549,0.277316153049469,10,1.399999976158142
2024-05-20T20:25:36.765930,2024-05-20T15:25:36.816149,0.1676359,0.5355892,0.4681771,373664161,54.54157638549805,-116.72186279296875,0.4414609372615814,0.4411390721797943,0.283060222864151,10,1.399999976158142
2024-05-20T20:25:36.866117,2024-05-20T15:25:36.927290,0.1675429,0.5356508,0.468125,373664161,54.64865493774414,-116.69264221191406,0.44135749340057373,0.440351665019989,0.2809547483921051,10,1.399999976158142
2024-05-20T20:25:36.965645,2024-05-20T15:25:37.038028,0.1675604,0.5355808,0.4681559,373664161,54.76936340332031,-116.63958740234375,0.4412055015563965,0.44052600860595703,0.3088470697402954,10,1.399999976158142
2024-05-20T20:25:37.065919,2024-05-20T15:25:37.204850,0.1675943,0.5356871,0.468241,373664161,54.87092590332031,-116.5953369140625,0.4411160945892334,0.44069766998291016,0.3929714560508728,10,1.399999976158142
2024-05-20T20:25:37.166071,2024-05-20T15:25:37.232935,0.1675576,0.5356978,0.4682725,373664161,54.9583625793457,-116.56307220458984,0.4410721957683563,0.4405747652053833,0.4657793939113617,10,1.399999976158142
2024-05-20T20:25:37.265574,2024-05-20T15:25:37.317025,0.1676224,0.5356772,0.4682896,373664161,55.05763244628906,-116.54205322265625,0.4410088062286377,0.4407942295074463,0.49592116475105286,10,1.399999976158142
2024-05-20T20:25:37.365770,2024-05-20T15:25:37.434502,0.1676001,0.5356573,0.4683012,373664161,55.1832275390625,-116.5200424194336,0.44093039631843567,0.44073233008384705,0.46127939224243164,10,1.399999976158142
2024-05-20T20:25:37.465968,2024-05-20T15:25:37.539394,0.1675422,0.5356402,0.4682746,373664161,55.29742431640625,-116.49147033691406,0.4408631920814514,0.4408402144908905,0.4981784522533417,10,1.399999976158142
2024-05-20T20:25:37.566163,2024-05-20T15:25:37.621500,0.1674189,0.5356257,0.4683094,373664161,55.39813232421875,-116.41041564941406,0.440826416015625,0.44069766998291016,0.5307956337928772,10,1.399999976158142
2024-05-20T20:25:37.665696,2024-05-20T15:25:37.732860,0.1674314,0.5356363,0.4682936,373664161,55.54798889160156,-116.356201171875,0.440814346075058,0.4403114318847656,0.4469776749610901,10,1.399999976158142
2024-05-20T20:25:37.765890,2024-05-20T15:25:37.816743,0.1675018,0.5356089,0.4683251,373664161,55.68864440917969,-116.3062744140625,0.4406901001930237,0.4406522214412689,0.3837606906890869,10,1.399999976158142
2024-05-20T20:25:37.866091,2024-05-20T15:25:37.927281,0.1675022,0.5356214,0.4683347,373664161,55.80838394165039,-116.25579833984375,0.4406901001930237,0.4406522214412689,0.3837606906890869,10,1.399999976158142
2024-05-20T20:25:37.965621,2024-05-20T15:25:38.040843,0.1675866,0.535627,0.4683223,373664161,55.92811965942383,-116.20531463623047,0.4406901001930237,0.4406522214412689,0.3837606906890869,10,1.399999976158142
2024-05-20T20:25:38.065840,2024-05-20T15:25:38.121876,0.167644,0.5356382,0.4683019,373664161,55.990867614746094,-116.15348052978516,0.44056177139282227,0.440293550491333,0.3540049195289612,10,1.399999976158142
2024-05-20T20:25:38.166013,2024-05-20T15:25:38.232831,0.1675211,0.5355874,0.4683243,373664161,56.08528137207031,-116.10065460205078,0.4404977858066559,0.44004037976264954,0.3355918824672699,10,1.399999976158142
2024-05-20T20:25:38.266230,2024-05-20T15:25:38.317437,0.1674605,0.5355847,0.4683375,373664161,56.18898010253906,-116.05281066894531,0.4404240846633911,0.43982863426208496,0.34922146797180176,10,1.399999976158142
2024-05-20T20:25:38.365741,2024-05-20T15:25:38.427567,0.1674244,0.5355932,0.4683422,373664161,56.2761116027832,-116.00170135498047,0.44034209847450256,0.4397136867046356,0.33046019077301025,10,1.399999976158142
2024-05-20T20:25:38.465952,2024-05-20T15:25:38.538231,0.1674643,0.5355853,0.4683167,373664161,56.34805679321289,-115.94760131835938,0.44034069776535034,0.4401797652244568,0.33135852217674255,10,1.399999976158142
2024-05-20T20:25:38.566136,2024-05-20T15:25:38.649618,0.1674818,0.5356154,0.4683252,373664161,56.430450439453125,-115.8754653930664,0.4402834475040436,0.44008752703666687,0.3291158676147461,10,1.399999976158142
